part,rank,company,price,raw_price,is_call,qty,condition,manufacturer,location,age,description,page_url,timestamp
92V86,2,Amazon,"COP 1,873,962.52","COP 1,873,962.52",0,,NEW,,,,,,2025-11-30T23:42:20.871Z
92V86,3,Amazon,"COP 92,500.64","COP 92,500.64",0,,NEW,,,,,,2025-11-30T23:42:20.871Z
HYM6Y,1,NO OFFERS,,,0,,,,,,No offers found,https://www.amazon.com/s?k=HYM6Y,2025-11-30T23:42:30.197Z
KRM6X,1,NO OFFERS,,,0,,,,,,No offers found,https://www.amazon.com/s?k=KRM6X,2025-11-30T23:42:39.309Z
0N54T,2,Amazon,"COP 1,420,492","COP 1,420,492",0,,NEW,,,,,,2025-11-30T23:42:44.506Z
0N54T,3,Amazon,"COP 1,420,492","COP 1,420,492",0,,NEW,,,,,,2025-11-30T23:42:44.506Z
M7YNR,2,Amazon,"COP 37,442.52","COP 37,442.52",0,,NEW,,,,,,2025-11-30T23:42:49.964Z
M7YNR,3,Amazon,"COP 37,442.52","COP 37,442.52",0,,NEW,,,,,,2025-11-30T23:42:49.964Z
NÃO ENCONTRADO,1,Amazon,COP 0,COP 0,0,,NEW,,,,,,2025-11-30T23:42:55.271Z
NÃO ENCONTRADO,2,Amazon,COP 0,COP 0,0,,NEW,,,,,,2025-11-30T23:42:55.271Z
NÃO ENCONTRADO,3,Amazon,"COP 181,852.96","COP 181,852.96",0,,NEW,,,,,,2025-11-30T23:42:55.271Z
H959F,2,Amazon,"COP 48,686.52","COP 48,686.52",0,,NEW,,,,,,2025-11-30T23:43:00.770Z
H959F,3,Amazon,"COP 48,686.52","COP 48,686.52",0,,NEW,,,,,,2025-11-30T23:43:00.770Z
C5RNH,1,Amazon,"COP 562,162.52","COP 562,162.52",0,,NEW,,,,,,2025-11-30T23:43:06.196Z
C5RNH,2,Amazon,"COP 153,030.84","COP 153,030.84",0,,NEW,,,,,,2025-11-30T23:43:06.196Z
C5RNH,3,Amazon,"COP 663,396","COP 663,396",0,,NEW,,,,,,2025-11-30T23:43:06.196Z
