part,rank,company,price,raw_price,is_call,qty,condition,manufacturer,location,age,description,page_url,timestamp
PartNumber,1,NO OFFERS,,,0,,,,,,No offers found,https://www.ebay.com/sch/i.html?_nkw=PartNumber&_sacat=0,2025-12-02T01:10:03.996Z
iPhone 13,1,NO OFFERS,,,0,,,,,,No offers found,https://www.ebay.com/sch/i.html?_nkw=iPhone%2013&_sacat=0,2025-12-02T01:10:08.659Z
Dell Latitude 5420,1,NO OFFERS,,,0,,,,,,No offers found,https://www.ebay.com/sch/i.html?_nkw=Dell%20Latitude%205420&_sacat=0,2025-12-02T01:10:11.891Z
PartNumber,1,NO OFFERS,,,0,,,,,,No offers found,https://www.ebay.com/sch/i.html?_nkw=PartNumber&_sacat=0,2025-12-02T01:10:35.821Z
laptop,1,NO OFFERS,,,0,,,,,,No offers found,https://www.ebay.com/sch/i.html?_nkw=laptop&_sacat=0,2025-12-02T01:36:26.625Z
laptop,1,NO OFFERS,,,0,,,,,,No offers found,https://www.ebay.com/sch/i.html?_nkw=laptop&_sacat=0,2025-12-02T01:42:31.884Z
laptop,1,NO OFFERS,,,0,,,,,,No offers found,https://www.ebay.com/sch/i.html?_nkw=laptop&_sacat=0,2025-12-02T02:04:29.314Z
WS-C2960-24TC-L,1,NO OFFERS,,,0,,,,,,No offers found,https://www.ebay.com/sch/i.html?_nkw=WS-C2960-24TC-L&_sacat=0,2025-12-02T14:09:12.858Z
GLC-LH-SMD,1,NO OFFERS,,,0,,,,,,No offers found,https://www.ebay.com/sch/i.html?_nkw=GLC-LH-SMD&_sacat=0,2025-12-02T14:09:16.362Z
SFP-10G-SR,1,NO OFFERS,,,0,,,,,,No offers found,https://www.ebay.com/sch/i.html?_nkw=SFP-10G-SR&_sacat=0,2025-12-02T14:09:19.642Z
ASA5506-K9,1,NO OFFERS,,,0,,,,,,No offers found,https://www.ebay.com/sch/i.html?_nkw=ASA5506-K9&_sacat=0,2025-12-02T14:09:22.762Z
